QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Maurice Scott,2026,,0,2-Jun,195,QB,New York,West Islip,St. John the Baptist,,,,,24220,Marist,HardCommit,https://247sports.com/player/maurice-scott-46160941/,,,,,,,,77.6,117.5
Jaden Duckett,2026,,0,1-Jun,185,QB,Georgia,Marietta,Sprayberry,,,,,24226,The Citadel,Signed,https://247sports.com/player/jaden-duckett-46161194/,,,,,,,,276.5,319.5
Liam Zelman,2026,,0,2-Jun,215,QB,Pennsylvania,Philadelphia,Springside Chestnut Hill Academy,,,,,24211,Holy Cross,Signed,https://247sports.com/player/liam-zelman-46161478/,,,,,,,,235.4,264.7
Brady Van Laecke,2026,,0,11-May,180,QB,Michigan,Hudsonville,Hudsonville,,,,,24277,Ferris State,HardCommit,https://247sports.com/player/brady-van-laecke-46162142/,,,,,,,,59.3,68.6
Kannon Burroughs,2026,,0,3-Jun,190,QB,Tennessee,Mt. Juliet,Green Hill,,,,,24206,UT Martin,Signed,https://247sports.com/player/kannon-burroughs-46162361/,,,,,,,,131,160.7
Paul Jones,2026,,0,1-Jun,173,QB,New Jersey,Newark,Weequahic,,,,,24204,Tennessee State,Signed,https://247sports.com/player/paul-jones-46162384/,,,,,,,,753,877.6
Sayvien Adams,2026,,0,11-May,170,QB,New Jersey,Mount Holly,Rancocas Valley,,,,,24193,Monmouth,Signed,https://247sports.com/player/sayvien-adams-46162392/,,,,,,,,45.8,49.6
Matt Pain,2026,,0,1-Jun,195,QB,Connecticut,Wallingford,Choate Rosemary Hall,,,,,24145,Maine,Signed,https://247sports.com/player/matt-pain-46162398/,,,,,,,,317.1,362.9
Matthew O'Grady,2026,,0,Jun-00,195,QB,Wisconsin,Lake Geneva,Badger,,,,,24062,Army,HardCommit,https://247sports.com/player/matthew-ogrady-46162655/,,,,,,,,746.7,879.3
Aidan Glover,2026,,0,3-Jun,205,QB,Tennessee,Collierville,Collierville,,,,,24206,UT Martin,Signed,https://247sports.com/player/aidan-glover-46131125/,,,,,,,,100.4,125.4
Vashaun Coulon,2026,,0,11-May,175,QB,Louisiana,New Orleans,St. Augustine,,,,,24248,Southern,HardCommit,https://247sports.com/player/vashaun-coulon-46163351/,,,,,,,,77.7,88.5
Keller Stocks,2026,,0,3-Jun,215,QB,Illinois,Mt. Zion,Mt. Zion,,,,,24187,Western Illinois,HardCommit,https://247sports.com/player/keller-stocks-46163966/,,,,,,,,107.4,131
Evan Powell,2026,,0,4-Jun,190,QB,California,San Bernardino,Cajon,,,,,24433,CSU-Pueblo,HardCommit,https://247sports.com/player/evan-powell-46149356/,,,,,,,,681.8,967.9
John Sanders,2026,,0,Jun-00,190,QB,California,La Canada Flintridge,St. Francis,,,,,24079,BYU,Enrolled,https://247sports.com/player/john-sanders-46167352/,,,,,,,,551.6,643.6
